"Sex","Province or County","CensusYear","Statistic Label","UNIT","VALUE"
"Both sexes","Roscommon","1901","Population","Number","101791"
"Both sexes","Roscommon","1901","Population Change since previous Census","Number","-12606"
"Both sexes","Roscommon","1901","Annual Rate of Population Increase","No. per 1000 Pop.","-11.6"
"Both sexes","Roscommon","1911","Population","Number","93956"
"Both sexes","Roscommon","1911","Population Change since previous Census","Number","-7835"
"Both sexes","Roscommon","1911","Annual Rate of Population Increase","No. per 1000 Pop.","-8"
"Both sexes","Roscommon","1926","Population","Number","83556"
"Both sexes","Roscommon","1926","Population Change since previous Census","Number","-10400"
"Both sexes","Roscommon","1926","Annual Rate of Population Increase","No. per 1000 Pop.","-7.8"
"Both sexes","Roscommon","1936","Population","Number","77566"
"Both sexes","Roscommon","1936","Population Change since previous Census","Number","-5990"
"Both sexes","Roscommon","1936","Annual Rate of Population Increase","No. per 1000 Pop.","-7.4"
"Both sexes","Roscommon","1946","Population","Number","72510"
"Both sexes","Roscommon","1946","Population Change since previous Census","Number","-5056"
"Both sexes","Roscommon","1946","Annual Rate of Population Increase","No. per 1000 Pop.","-6.7"
"Both sexes","Roscommon","1951","Population","Number","68102"
"Both sexes","Roscommon","1951","Population Change since previous Census","Number","-4408"
"Both sexes","Roscommon","1951","Annual Rate of Population Increase","No. per 1000 Pop.","-12.5"
"Both sexes","Roscommon","1956","Population","Number","63710"
"Both sexes","Roscommon","1956","Population Change since previous Census","Number","-4392"
"Both sexes","Roscommon","1956","Annual Rate of Population Increase","No. per 1000 Pop.","-13.2"
"Both sexes","Roscommon","1961","Population","Number","59217"
"Both sexes","Roscommon","1961","Population Change since previous Census","Number","-4493"
"Both sexes","Roscommon","1961","Annual Rate of Population Increase","No. per 1000 Pop.","-14.5"
"Both sexes","Roscommon","1966","Population","Number","56228"
"Both sexes","Roscommon","1966","Population Change since previous Census","Number","-2989"
"Both sexes","Roscommon","1966","Annual Rate of Population Increase","No. per 1000 Pop.","-10.3"
"Both sexes","Roscommon","1971","Population","Number","53519"
"Both sexes","Roscommon","1971","Population Change since previous Census","Number","-2709"
"Both sexes","Roscommon","1971","Annual Rate of Population Increase","No. per 1000 Pop.","-9.8"
"Both sexes","Roscommon","1979","Population","Number","54189"
"Both sexes","Roscommon","1979","Population Change since previous Census","Number","670"
"Both sexes","Roscommon","1979","Annual Rate of Population Increase","No. per 1000 Pop.","1.6"
"Both sexes","Roscommon","1981","Population","Number","54543"
"Both sexes","Roscommon","1981","Population Change since previous Census","Number","354"
"Both sexes","Roscommon","1981","Annual Rate of Population Increase","No. per 1000 Pop.","3.3"
"Both sexes","Roscommon","1986","Population","Number","54592"
"Both sexes","Roscommon","1986","Population Change since previous Census","Number","49"
"Both sexes","Roscommon","1986","Annual Rate of Population Increase","No. per 1000 Pop.","0.2"
"Both sexes","Roscommon","1991","Population","Number","51897"
"Both sexes","Roscommon","1991","Population Change since previous Census","Number","-2695"
"Both sexes","Roscommon","1991","Annual Rate of Population Increase","No. per 1000 Pop.","-10.1"
"Both sexes","Roscommon","1996","Population","Number","51975"
"Both sexes","Roscommon","1996","Population Change since previous Census","Number","78"
"Both sexes","Roscommon","1996","Annual Rate of Population Increase","No. per 1000 Pop.","0.3"
"Both sexes","Roscommon","2002","Population","Number","53774"
"Both sexes","Roscommon","2002","Population Change since previous Census","Number","1799"
"Both sexes","Roscommon","2002","Annual Rate of Population Increase","No. per 1000 Pop.","5.7"
"Both sexes","Roscommon","2006","Population","Number","58768"
"Both sexes","Roscommon","2006","Population Change since previous Census","Number","4994"
"Both sexes","Roscommon","2006","Annual Rate of Population Increase","No. per 1000 Pop.","22.5"
"Both sexes","Roscommon","2011","Population","Number","64065"
"Both sexes","Roscommon","2011","Population Change since previous Census","Number","5297"
"Both sexes","Roscommon","2011","Annual Rate of Population Increase","No. per 1000 Pop.","17.2"
"Both sexes","Roscommon","2016","Population","Number","64544"
"Both sexes","Roscommon","2016","Population Change since previous Census","Number","479"
"Both sexes","Roscommon","2016","Annual Rate of Population Increase","No. per 1000 Pop.","1.5"
"Both sexes","Sligo","1841","Population","Number","180886"
"Both sexes","Sligo","1841","Population Change since previous Census","Number",""
"Both sexes","Sligo","1841","Annual Rate of Population Increase","No. per 1000 Pop.",""
"Both sexes","Sligo","1851","Population","Number","128515"
"Both sexes","Sligo","1851","Population Change since previous Census","Number","-52371"
"Both sexes","Sligo","1851","Annual Rate of Population Increase","No. per 1000 Pop.","-33.6"
"Both sexes","Sligo","1861","Population","Number","124845"
"Both sexes","Sligo","1861","Population Change since previous Census","Number","-3670"
"Both sexes","Sligo","1861","Annual Rate of Population Increase","No. per 1000 Pop.","-2.9"
"Both sexes","Sligo","1871","Population","Number","115493"
"Both sexes","Sligo","1871","Population Change since previous Census","Number","-9352"
"Both sexes","Sligo","1871","Annual Rate of Population Increase","No. per 1000 Pop.","-7.8"
"Both sexes","Sligo","1881","Population","Number","111578"
"Both sexes","Sligo","1881","Population Change since previous Census","Number","-3915"
"Both sexes","Sligo","1881","Annual Rate of Population Increase","No. per 1000 Pop.","-3.4"
"Both sexes","Sligo","1891","Population","Number","98013"
"Both sexes","Sligo","1891","Population Change since previous Census","Number","-13565"
"Both sexes","Sligo","1891","Annual Rate of Population Increase","No. per 1000 Pop.","-12.9"
"Both sexes","Sligo","1901","Population","Number","84083"
"Both sexes","Sligo","1901","Population Change since previous Census","Number","-13930"
"Both sexes","Sligo","1901","Annual Rate of Population Increase","No. per 1000 Pop.","-15.2"
"Both sexes","Sligo","1911","Population","Number","79045"
"Both sexes","Sligo","1911","Population Change since previous Census","Number","-5038"
"Both sexes","Sligo","1911","Annual Rate of Population Increase","No. per 1000 Pop.","-6.2"
"Both sexes","Sligo","1926","Population","Number","71388"
"Both sexes","Sligo","1926","Population Change since previous Census","Number","-7657"
"Both sexes","Sligo","1926","Annual Rate of Population Increase","No. per 1000 Pop.","-6.8"
"Both sexes","Sligo","1936","Population","Number","67447"
"Both sexes","Sligo","1936","Population Change since previous Census","Number","-3941"
"Both sexes","Sligo","1936","Annual Rate of Population Increase","No. per 1000 Pop.","-5.7"
"Both sexes","Sligo","1946","Population","Number","62375"
"Both sexes","Sligo","1946","Population Change since previous Census","Number","-5072"
"Both sexes","Sligo","1946","Annual Rate of Population Increase","No. per 1000 Pop.","-7.8"
"Both sexes","Sligo","1951","Population","Number","60513"
"Both sexes","Sligo","1951","Population Change since previous Census","Number","-1862"
"Both sexes","Sligo","1951","Annual Rate of Population Increase","No. per 1000 Pop.","-6"
"Both sexes","Sligo","1956","Population","Number","56850"
"Both sexes","Sligo","1956","Population Change since previous Census","Number","-3663"
"Both sexes","Sligo","1956","Annual Rate of Population Increase","No. per 1000 Pop.","-12.4"
"Both sexes","Sligo","1961","Population","Number","53561"
"Both sexes","Sligo","1961","Population Change since previous Census","Number","-3289"
"Both sexes","Sligo","1961","Annual Rate of Population Increase","No. per 1000 Pop.","-11.8"
"Both sexes","Sligo","1966","Population","Number","51263"
"Both sexes","Sligo","1966","Population Change since previous Census","Number","-2298"
"Both sexes","Sligo","1966","Annual Rate of Population Increase","No. per 1000 Pop.","-8.7"
"Both sexes","Sligo","1971","Population","Number","50275"
"Both sexes","Sligo","1971","Population Change since previous Census","Number","-988"
"Both sexes","Sligo","1971","Annual Rate of Population Increase","No. per 1000 Pop.","-3.9"
"Both sexes","Sligo","1979","Population","Number","54610"
"Both sexes","Sligo","1979","Population Change since previous Census","Number","4335"
"Both sexes","Sligo","1979","Annual Rate of Population Increase","No. per 1000 Pop.","10.4"
"Both sexes","Sligo","1981","Population","Number","55474"
"Both sexes","Sligo","1981","Population Change since previous Census","Number","864"
"Both sexes","Sligo","1981","Annual Rate of Population Increase","No. per 1000 Pop.","7.9"
"Both sexes","Sligo","1986","Population","Number","56046"
"Both sexes","Sligo","1986","Population Change since previous Census","Number","572"
"Both sexes","Sligo","1986","Annual Rate of Population Increase","No. per 1000 Pop.","2.1"
"Both sexes","Sligo","1991","Population","Number","54756"
"Both sexes","Sligo","1991","Population Change since previous Census","Number","-1290"
"Both sexes","Sligo","1991","Annual Rate of Population Increase","No. per 1000 Pop.","-4.6"
"Both sexes","Sligo","1996","Population","Number","55821"
"Both sexes","Sligo","1996","Population Change since previous Census","Number","1065"
"Both sexes","Sligo","1996","Annual Rate of Population Increase","No. per 1000 Pop.","3.9"
"Both sexes","Sligo","2002","Population","Number","58200"
"Both sexes","Sligo","2002","Population Change since previous Census","Number","2379"
"Both sexes","Sligo","2002","Annual Rate of Population Increase","No. per 1000 Pop.","7"
"Both sexes","Sligo","2006","Population","Number","60894"
"Both sexes","Sligo","2006","Population Change since previous Census","Number","2694"
"Both sexes","Sligo","2006","Annual Rate of Population Increase","No. per 1000 Pop.","11.4"
"Both sexes","Sligo","2011","Population","Number","65393"
"Both sexes","Sligo","2011","Population Change since previous Census","Number","4499"
"Both sexes","Sligo","2011","Annual Rate of Population Increase","No. per 1000 Pop.","14.3"
"Both sexes","Sligo","2016","Population","Number","65535"
"Both sexes","Sligo","2016","Population Change since previous Census","Number","142"
"Both sexes","Sligo","2016","Annual Rate of Population Increase","No. per 1000 Pop.","0.4"
"Both sexes","Ulster (part of)","1841","Population","Number","740048"
"Both sexes","Ulster (part of)","1841","Population Change since previous Census","Number",""
"Both sexes","Ulster (part of)","1841","Annual Rate of Population Increase","No. per 1000 Pop.",""
"Both sexes","Ulster (part of)","1851","Population","Number","571052"
"Both sexes","Ulster (part of)","1851","Population Change since previous Census","Number","-168996"
"Both sexes","Ulster (part of)","1851","Annual Rate of Population Increase","No. per 1000 Pop.","-25.6"
"Both sexes","Ulster (part of)","1861","Population","Number","517783"
"Both sexes","Ulster (part of)","1861","Population Change since previous Census","Number","-53269"
"Both sexes","Ulster (part of)","1861","Annual Rate of Population Increase","No. per 1000 Pop.","-9.7"
"Both sexes","Ulster (part of)","1871","Population","Number","474038"
"Both sexes","Ulster (part of)","1871","Population Change since previous Census","Number","-43745"
"Both sexes","Ulster (part of)","1871","Annual Rate of Population Increase","No. per 1000 Pop.","-8.8"
"Both sexes","Ulster (part of)","1881","Population","Number","438259"
"Both sexes","Ulster (part of)","1881","Population Change since previous Census","Number","-35779"
"Both sexes","Ulster (part of)","1881","Annual Rate of Population Increase","No. per 1000 Pop.","-7.8"
"Both sexes","Ulster (part of)","1891","Population","Number","383758"
